timestamp,scan_number,cov_x,cov_y,cov_theta,std_x,std_y,std_theta,pos_uncertainty,orient_uncertainty,active_landmarks,state_size,landmark_updates,total_landmark_obs
8.199,37,0.0005854101920380273,3.2257117946758625e-06,6.403879785153939e-05,0.024195251435726543,0.0017960266686983973,0.008002424498334201,0.024261819878828198,0.008002424498334201,10,23,0,10
8.289,38,0.0005854101918996852,3.1249120580363126e-06,6.403881197026124e-05,0.024195251432867673,0.001767742079047821,0.00800242538048692,0.024259742454480458,0.00800242538048692,10,23,0,10
8.385,39,0.0005854101946431413,3.030217889441884e-06,6.403881721715401e-05,0.024195251489561774,0.0017407521045346703,0.008002425708318323,0.024257790759518543,0.008002425708318323,10,23,0,10
8.487,40,0.000585410196057485,2.941095062423064e-06,6.403881916703877e-05,0.024195251518789488,0.0017149621169061035,0.008002425830149179,0.024255953725217817,0.008002425830149179,10,23,0,10
8.587,41,0.0005854101855800025,2.857076976763056e-06,6.403881989166771e-05,0.024195251302270092,0.0016902890216655422,0.00800242587542476,0.02425422154093521,0.00800242587542476,10,23,0,10
8.683,42,0.000585410178981927,2.7777239206745165e-06,6.403882016095907e-05,0.02419525116591946,0.0016666505094573717,0.008002425892250366,0.024252585489027794,0.008002425892250366,10,23,0,10
8.789,43,0.0005854101941225396,2.702637713583828e-06,6.403882026103489e-05,0.024195251478803432,0.001643970107265892,0.008002425898503208,0.02425103774761244,0.008002425898503208,10,23,0,10
8.897,44,0.000585410191862861,2.631521542477548e-06,6.403882029822572e-05,0.02419525143210669,0.0016221965178354772,0.008002425900826931,0.024249571406631882,0.008002425900826931,10,23,0,10
8.996,45,0.000585410191823393,2.564049444379558e-06,6.403882031204682e-05,0.024195251431291077,0.001601264951336773,0.008002425901690488,0.02424818016404061,0.008002425901690488,10,23,0,10
9.086,46,0.0005854101957460475,2.4999458538665297e-06,6.40388203171831e-05,0.024195251512353567,0.001581121707480651,0.008002425902011409,0.024246858386189212,0.008002425902011409,10,23,0,10
9.192,47,0.0005854101940858793,2.4389748840677345e-06,6.403882031909188e-05,0.024195251478045837,0.0015617217690958062,0.008002425902130671,0.024245601023071113,0.008002425902130671,10,23,0,10
9.285,48,0.0005854101947867304,2.3809047361178606e-06,6.403882031980124e-05,0.024195251492529074,0.001543018060852776,0.008002425902174991,0.02424440346807585,0.008002425902174991,10,23,0,10
9.4,49,0.0006854101962945839,2.325534526183869e-06,6.903882032006486e-05,0.026180339881189164,0.0015249703361652216,0.008308960243018668,0.026224716029363746,0.008308960243018668,10,23,0,10
9.493,50,0.00048726778914189907,2.2726929830013975e-06,6.084199131852908e-05,0.022074142999036202,0.0015075453502304324,0.007800127647579177,0.022125561735804596,0.007800127647579177,10,23,0,10
9.581,51,0.0005829719789203389,2.2221954941987737e-06,6.282718108608746e-05,0.02414481267105502,0.001490703020121303,0.007926359888756469,0.02419078697385717,0.007926359888756469,10,23,0,10
9.695,52,0.0010829719659955857,2.2222084189518295e-06,8.782718108608746e-05,0.03290853940842081,0.0014907073552350338,0.00937161571374368,0.03294228550684572,0.00937161571374368,10,23,0,10
9.799,53,0.0015829719530708324,2.2222213437048853e-06,0.00011282718108608746,0.03978658006251395,0.0014907116903361578,0.010622013984461113,0.03981449703832182,0.010622013984461113,10,23,0,10
9.889,54,0.002112231383213462,2.223936831210515e-06,0.00014973399557211228,0.04595901851882242,0.001491286971447989,0.012236584309851842,0.04598320693519181,0.012236584309851842,10,23,0,10
9.993,55,0.0027387169537515703,2.275569407978225e-06,0.0001995735750669972,0.052332752208837346,0.001508499057997129,0.014127051180872716,0.0523544890449668,0.014127051180872716,10,23,0,10
10.097,56,0.0034316040962051484,2.534388229446767e-06,0.00025663836338167783,0.05857989498287914,0.0015919762025378291,0.016019936435007407,0.05860152288494383,0.016019936435007407,10,23,0,10
10.19,57,0.0007905326273595352,2.6013698622918616e-06,0.00013334537921822913,0.028116412064122534,0.001612876269988452,0.011547526974128666,0.028162634770593237,0.011547526974128666,10,23,0,10
10.289,58,0.000781114133256954,2.7949750289854517e-06,0.00012108922783227446,0.027948419154881624,0.001671817881524615,0.011004055063124433,0.0279983768866329,0.011004055063124433,10,23,0,10
10.387,59,0.0007801655608678894,3.0811888263119107e-06,0.00012039951224181336,0.027931443945272316,0.001755331543131357,0.010972671153452716,0.027986545869295863,0.010972671153452716,10,23,0,10
10.475,60,0.0006412999022762036,3.2259520724938104e-06,0.00010785127376045522,0.02532389982360939,0.00179609355894781,0.010385146785696157,0.025387513748862795,0.010385146785696157,10,23,0,10
10.587,61,0.0009147067452747544,4.243899238971289e-06,0.00013241724651967624,0.03024411918497139,0.002060072629537922,0.011507269290308464,0.03031419872788535,0.011507269290308464,10,23,0,10
10.682,62,0.0007794876936102839,4.615130369937536e-06,0.00012443189017945745,0.027919306825390275,0.002148285448895825,0.01115490431063653,0.028001836082303985,0.01115490431063653,10,23,0,10
10.783,63,0.0007772245728937743,5.344045137190333e-06,0.00012295336818820827,0.027878747692351144,0.0023117190869978844,0.011088433982678,0.02797442793036105,0.011088433982678,10,23,0,10
10.882,64,0.0007762926205576508,6.219191752458527e-06,0.0001199076109231562,0.02786202829224123,0.002493830738534299,0.010950233372999692,0.027973412596787494,0.010950233372999692,10,23,0,10
10.978,65,0.0006384415688914022,6.134792977052139e-06,0.00010434577857332467,0.025267401308630894,0.002476851424097162,0.01021497814845067,0.025388508460885494,0.01021497814845067,10,23,0,10
11.073,66,0.0007735609667139323,7.791522696212546e-06,0.00011188092050823563,0.02781296400446979,0.0027913299153293483,0.010577377770895565,0.02795268304492692,0.010577377770895565,10,23,0,10
11.194,67,0.0009123171474692681,1.0074679119970038e-05,0.00012449872094007436,0.030204588185725495,0.003174063502825682,0.011157899486017715,0.030370904276778427,0.011157899486017715,10,23,0,10
11.286,68,0.0007755976703089731,1.0021214069008489e-05,0.00011446139653809046,0.02784955422100995,0.0031656301219517877,0.010698663306137382,0.02802889374160139,0.010698663306137382,10,23,0,10
11.381,69,0.0007731255524030318,1.1088382784415282e-05,0.00011189589123053544,0.027805135360271703,0.003329922339096707,0.01057808542367358,0.028003820010624392,0.01057808542367358,10,23,0,10
11.483,70,0.0007720570963604125,1.2228274181150047e-05,0.0001110657209898014,0.027785915431391,0.0034968949342452436,0.010538772271465087,0.02800509543889402,0.010538772271465087,10,23,0,10
11.593,71,0.0007709991291073117,1.3333565030841298e-05,0.00011072748569814681,0.02776687107160819,0.0036515154430511857,0.010522712848792692,0.028005940336617033,0.010522712848792692,10,23,0,10
11.685,72,0.0007697891958589522,1.4568665251087587e-05,0.00011055290821597082,0.02774507516405303,0.003816892093194093,0.010514414306844239,0.028006389647900705,0.010514414306844239,10,23,0,10
11.782,73,0.0007684757210014362,1.5883194630233026e-05,0.0001104934358821998,0.027721394643874544,0.003985372583615367,0.010511585792933424,0.02800640847434153,0.010511585792933424,10,23,0,10
11.892,74,0.00076708863964097,1.7277322660446634e-05,0.00010774552367759564,0.027696365097986595,0.004156599891792165,0.01038005412691069,0.028006534278653912,0.01038005412691069,10,23,0,10
11.991,75,0.0007664194293330894,1.8491820739732758e-05,0.00010460287031087102,0.027684281268132816,0.0043002117087107185,0.010227554463842811,0.028016267597109044,0.010227554463842811,10,23,0,10
12.074,76,0.0006299449843575168,1.6537799117809344e-05,9.213306844396268e-05,0.025098704834264195,0.004066669290440193,0.009598597212299446,0.02542602571137153,0.009598597212299446,10,23,0,10
12.178,77,0.00076272518685317,2.0815908994747935e-05,9.832912396442735e-05,0.027617479733914353,0.00456244550594831,0.009916104273575754,0.027991804083479826,0.009916104273575754,10,23,0,10
12.285,78,0.0008989719077307541,2.5888570584139195e-05,0.00010919463574724447,0.029982860232652155,0.0050880812281388745,0.010449623713189124,0.03041151884261773,0.010449623713189124,10,23,0,10
12.391,79,0.0007638642790058523,2.3711861634610924e-05,0.0001013816243062714,0.02763809470650704,0.004869482686550073,0.010068844238852412,0.028063786997489546,0.010068844238852412,10,23,0,10
12.479,80,0.0006262856668889174,2.079357382624637e-05,8.945553622531559e-05,0.025025700127846922,0.004559997130069971,0.00945809368875756,0.025437752273248588,0.00945809368875756,10,23,0,10
12.589,81,0.0008928168526373591,3.028410179364913e-05,0.00010565964131257619,0.02988004104142695,0.005503099289822884,0.010279087571986931,0.030382576494283827,0.010279087571986931,10,23,0,10
12.691,82,0.0007601310587295055,2.7597931197400212e-05,9.993247316344891e-05,0.027570474401604074,0.0052533733160132655,0.009996623087995711,0.02806651011306724,0.009996623087995711,10,23,0,10
12.782,83,0.0007574093261977855,2.8823503795324494e-05,9.851989078056629e-05,0.027521070585967138,0.005368752536234511,0.009925718653103476,0.028039843615703528,0.009925718653103476,10,23,0,10
12.883,84,0.0007561833695388563,3.0038042974140257e-05,9.592950511686963e-05,0.027498788510384533,0.005480697307290401,0.009794360883532404,0.028039640021102208,0.009794360883532404,10,23,0,10
12.985,85,0.0007554817139801207,3.119085842421179e-05,9.3149450545052e-05,0.02748602761368257,0.005584877655259047,0.009651396300279665,0.028047683904456933,0.009651396300279665,10,23,0,10
13.079,86,0.0007548014810440534,3.228747032635679e-05,9.113423904490952e-05,0.027473650668304955,0.005682206466361178,0.00954642545903489,0.028055105620375238,0.00954642545903489,10,23,0,10
13.183,87,0.0007540542454365592,3.329001859288953e-05,8.978719087363066e-05,0.027460048168868153,0.00576975030593955,0.009475610316683071,0.028059655451010954,0.009475610316683071,10,23,0,10
13.278,88,0.0006196607525437774,2.8496030606778152e-05,8.063661169780464e-05,0.024892986010998708,0.005338167345332867,0.008979789067556355,0.02545892344838162,0.008979789067556355,10,23,0,10
13.386,89,0.0008837408800225529,4.106886540630383e-05,9.430537460963616e-05,0.0297277796012846,0.006408499466045373,0.00971109543819008,0.030410684724761734,0.00971109543819008,10,23,0,10
13.489,90,0.0007527195243642808,3.6442771972278536e-05,8.970844258622357e-05,0.027435734441860326,0.0060367849035955,0.00947145409038251,0.02809203261311932,0.00947145409038251,10,23,0,10
13.582,91,0.0007501746953888055,3.752173965465365e-05,8.833545350232354e-05,0.027389317176388414,0.006125499135144307,0.009398694244538628,0.02806593014748414,0.009398694244538628,10,23,0,10
